POCET	KOD	UDALOST
62	603	Usnesení o zamítnutí jednoho z insolvenčních návrhů
62	455	Usnesení o nepotvrzení volby v.v.
62	114	Usnesení o zamítnutí návrhu na zrušení usnesení schůze věřitelů
59	986	Potvrzení o přijetí
59	891	VS - Rozsudek -zrušeno a vráceno
59	170	Usnesení o neúčinnosti zpětvzetí návrhu na povolení oddlužení
57	846	Zaslání dovolání
57	771	Usnesení o odměně zástupci (ex offo)
55	694	Půjčení spisu - bez S.O.
54	913	NS – Protokol o hlasování
54	17	Návrh na přeměnu reorganizace v konkurs
52	345	Návrh na zrušení předběžného opatření
51	1052	Usnesení o zamítnutí návrhu na povolení oddlužení a zastavení řízení
50	883	Žádost o nahlédnutí do spisu
50	774	Faxové podání
50	746	Usnesení - o zamítnutí žádosti o prominutí zmeškání lhůty
50	530	Návrh reorganizačního plánu
50	1051	Usnesení o odmítnutí návrhu na povolení oddlužení a zastavení řízení
49	858	Doložka právní moci
49	837	Výzva
48	980	Platební poukaz - tlumočné
48	681	Předvolání zástupce účastníka k přípravě jednání
48	151	Usnesení o omezení nakládat s majetkovou podstatou
47	409	Dovolání - zpětvzetí dovolání
46	673	Předvolání tlumočníka
45	510	Převzetí věci vrchním soudem
45	1043	Usnesení o odmítnutí popření pohledávky přihlášeným věřitelem
44	69	Usnesení o prodloužení moratoria
44	422	Návrh na změnu předběžného opatření
43	945	Návrh na určení lhůty (§ 174a zák.č.6/2002 Sb.)
42	981	Platební poukaz - znalečné
42	849	Zaslání žaloby žalovanému
42	740	Usnesení - o připuštění vedlejšího účastníka do řízení
42	651	PO-usnesení o odmítnutí
42	150	Usnesení o zákazu nakládat s majetkovou podstatou
41	4	Změna v číselníku událostí
41	36	Sdělení Střediska cenných papírů
41	152	Usnesení o odmítnutí návrhu na povolení reorganizace pro opožděnost
40	914	NS – Zaslání rozhodnutí dovolacího soudu a vrácení spisu
40	696	Referát pro v.s.ú.
40	549	Zánik moratoria - po insolvenčním návrhu
39	472	Usnesení o zániku pohledávky
38	453	Soupis majetkové podstaty
37	735	Usnesení - o povinnosti zaplatit NŘ
37	551	Návrh na prodloužení moratoria
36	912	NS – Převzetí věci Nejvyšším soudem
36	797	Usnesení o výzvě - zvolení advokáta pro dovolání
36	753	Částečný rozsudek
34	733	Usnesení - o nepřipuštění změny návrhu
34	656	Oznámení o procesním nástupnictví
34	533	Sdělení Ministerstva vnitra (auta)
33	81	Usnesení o zastavení řízení pro nedostatek podmínky řízení
33	808	Usnesení o zproštění funkce znalce
33	460	Usnesení o neschválení dohody o vypořádání SJM
32	759	Usnesení - zpětvzetí neúčinné
32	736	Usnesení - o prominutí pořádkové pokuty
32	159	Usnesení o schválení změny reorganizačního plánu
31	811	Usnesení o zrušení rozsudku a zastavení řízení
31	11	Návrh na zrušení moratoria
29	922	NS – Rozhodnutí NS o dovolání – zrušení a vrácení soudu I. stupně
29	856	Zpětvzetí návrhu po vydání rozhodnutí
29	754	Elektronické podání
29	732	Usnesení - o nepřipuštění zastoupení
29	469	Usnesení o vyloučení z rozvrhu
29	21	Návrh - zpětvzetí
29	198	Výzva k předložení reorganizačního plánu
28	882	Vyúčtování náhrad z používání vozidla
28	68	Usnesení o odmítnutí návrhu na moratorium
27	160	Usnesení o neschválení změny reorganizačního plánu
27	132	Usnesení o stanovení lhůty pro splnění pohledávky za podstatou a určení části majetkové podstaty, která bude k úhradě použita
26	916	NS – Rozhodnutí NS o dovolání – jinak
26	915	NS – Zaslání rozhodnutí dovolacího soudu bez spisu
24	809	Usnesení o zproštění zastupování
24	34	Sdělení živnostenského úřadu
23	872	Žádost o předvedení
23	16	Návrh změny reorganizačního plánu
22	977	Platební poukaz
22	967	OP - podání odvolání do PO
22	936	Usnesení o zamítnutí námitky podjatosti
22	1011	NS - Přípis
21	994	Poukaz účtárně na vrácení zálohy
21	960	Odůvodnění dovolání
21	816	Usnesení ÚS - jiné
21	796	Jistota
21	548	Zánik moratoria
20	875	Žádost/návrh na ustanovení opatrovníka
20	430	Platební poukaz
19	860	Žádost
19	728	Usnesení - o nepřipuštění dalšího účastníka
19	714	Upřesnění žalobce/navrhovatele
19	558	Usnesení o prodloužení moratoria - po insolvenčním návrhu
19	524	Protokol o hlasování
18	993	Poukaz účtárně na vrácení jistoty
18	979	Platební poukaz - svědečné
18	972	Oznámení katastrálnímu úřadu
18	835	Vyrozumění o odročení nebo odvolání přípravy jednání
18	778	Usnesení o přerušení řízení po vydání rozhodnutí
18	467	Usnesení o ukončení lhůty k předložení reorganizačního plánu
18	1047	Usnesení o zaplacení zálohy na náklady důkazu
17	731	Dotaz
17	705	Sdělení
17	665	Předložení originálu směnky
17	655	Povinnost zaplatit Sop dle rozhodnutí
17	508	Zaslání rozhodnutí odvolacího soudu
17	419	Návrh na úpravu seznamu přihlášených pohledávek
17	368	Náhradní doručení
16	807	Usnesení o zproštění funkce tlumočníka
16	803	Usnesení o změně a zastavení
16	757	Usnesení - zamítnutí návrhu na zrušení předběžného opatření
16	704	Rozšíření žaloby
16	599	Zpráva o mimořádných splátkách dle § 412 odst. 1 písm. b)
16	452	Souhlas s určením zastupující osoby
16	1035	Usnesení o nezveřejnění insolvenčního návrhu
16	1016	NS - Rozhodnutí NS o dovolání - měnící
15	666	Předložení spisu dle § 104a o.s.ř.
15	491	Zahraniční insolvenční správce
14	557	Usnesení o prodloužení moratoria
14	388	Příprava jednání
14	196	Výzva na odstranění vad návrhu na vynětí majetku
14	1017	NS - Protokol o vyhlášení rozsudku
13	948	Návrh na zajištění důkazů
13	884	Žádost o zaslání spisu k nahlédnutí
13	604	Usnesení o zastavení řízení o návrhu na moratorium
13	426	Omluva
12	908	NS – Rozhodnutí o delegaci
12	71	Usnesení o nevyhovění návrhu na zrušení moratoria
12	686	Přílohový spis
12	479	Usnesení o uplynutí lhůty
12	330	Změna XSD dokumentu poznámky
12	224	Záznam o nahlédnutí do spisu
12	219	Předkládací zpráva
12	191	Výzva věřitelům k podávání přihlášek pohledávek
11	910	OP - Usnesení o zamítnutí žaloby pro zmatečnost
11	89	Usnesení o záloze na náklady předběžného správce
11	644	Nový nápad po vyloučení
11	632	Usnesení o neschválení zprávy o reorganizačním plánu
11	587	Vykonatelnost
11	35	Sdělení Ministerstva vnitra (auta)
11	1010	NS - Rozhodnutí NS - výzva
10	964	Odvolání vzato zpět
10	924	Oddělení spojené věci po právní moci
10	871	Žádost o prominutí zmeškání lhůty
10	825	Vrácení spisu z jiného soudu k doplnění - v S.O.
10	788	Usnesení o uložení povinnosti
10	783	Usnesení o smíru - dílčí
10	720	Doslání podání na VS
10	690	Přípis
10	586	Usnesení o zamítnutí žaloby
10	211	Vyrozumění ČNB o prohlášení konkursu
10	180	Usnesení o zániku osvobození dlužníka od placení dosud neuspokojených pohledávek
9	821	Vrácení příloh
9	662	Protokol sepsaný mimo jednání
9	328	Rozhodnutí opravné usnesení
8	909	NS – Rozhodnutí o podjatosti
8	767	Usnesení o částečném zrušení usnesení
8	697	Rejstřík trestů
8	482	Vyhláška o hlasování
8	38	Sdělení dlužníka o nepředložení reorganizačního plánu
8	137	Usnesení o vyhovění návrhu nájemce na zrušení výpovědi nájemní smlouvy
7	932	OP - Žaloba pro zmatečnost
7	834	Vyrozumění o odročení nebo odvolání provedení důkazu
7	738	Usnesení - o připuštění částečné změny návrhu
7	709	Skončená věc
7	677	Předvolání účastníka k výslechu mimo jednání
7	550	Usnesení o zrušení moratoria - po insolvenčním návrhu
7	144	Usnesení o opatření k vynucení splnění uložených povinností
7	142	Usnesení o zrušení rozhodnutí o schválení dohody o vypořádání SJM
7	129	Usnesení o opatřeních potřebných k zjištění majetkové podstaty a způsobu zjištění
6	983	Pokračování v přerušeném řízení
6	939	Návrh na delegaci z důvodu vhodnosti
6	838	Mezitímní rozsudek
6	80	Usnesení o způsobu řešení úpadku reorganizací dle usnesení schůze věřitelů
6	712	Splátkový kalendář - výzva na Sop
6	245	Usnesení na doplnění odvolání
6	1019	Sdělení o vzájemné souvislosti spisů
5	975	Platba jiná
5	923	NS – Rozhodnutí NS o dovolání – zrušení a zastavení řízení
5	899	OP - Usnesení o zamítnutí obnovy
5	859	OP - Návrh na povolení obnovy řízení
5	718	Úschova soudu
5	639	Rozhodnutí o žalobě pro zmatečnost - zrušení rozhodnutí
5	590	VS - Usnesení doplňující
5	431	Pokračování v řízení po zpětvzetí
4	978	Platební poukaz - likvidátor,ustan.advokát
4	950	Návrh na zrušení rozsudku pro zmeškání
4	921	OP - Usnesení o vyhovění žalobě - zrušení rozhodnutí I.stupně
4	911	NS – Rozhodnutí o příslušnosti
4	901	VS - Opětovné převzetí odvolání nadřízeným soudem
4	874	Žádost o zaslání spisu s odpovědí
4	869	Žádost o prodloužení lhůty
4	836	Vyrozumění účastníků a zástupců o provedení důkazu
4	818	OP - Rozhodnutí ÚS o odmítnutí stížnosti
4	817	Konkurs prohlášen na žalobce/navrhovatele
4	810	Usnesení o zproštění znalce a jmenování nového
4	737	Usnesení - o prominutí zmeškání lhůty
4	65	Seznam přihlášených pohledávek - výpis
4	653	PO-usnesení o zastavení
4	543	Usnesení, kterým se věřiteli ukládá, aby plnil ve prospěch majetkové podstaty dle § 178 nebo § 179
4	504	Rozhodnutí o odvolání - zrušeno a vráceno
4	412	Námitky dle § 373 IZ
4	220	Svolání
4	1014	NS - Rozhodnutí NS - odložení vykonatelnosti
3	982	Plná moc
3	971	Opravné usnesení
3	962	Odvolání jiné
3	946	Návrh na určení příslušnosti soudu
3	873	Žádost o stanovení odměny ustanoveného advokáta
3	863	Žádost na OR
3	828	Konkurs prohlášen na žalovaného/odpůrce
3	820	Vrácení podání k opravě
3	711	Fotokopie směnky
3	70	Usnesení o zrušení moratoria
3	695	Referát
3	659	Prodloužení lhůty k předložení spisu
3	640	Rozhodnutí o žalobě pro zmatečnost - zamítnutí žaloby
3	503	Rozhodnutí o odvolání - změněno
3	136	Usnesení o neplatnosti právního úkonu
3	112	Usnesení o rozsahu hlasovacího práva na schůzi věřitelů
3	1013	NS - Rozhodnutí NS - procesní nástupnictví
2	997	PO-usnesení o část.nařízení a část.zamítnutí
2	954	Odpověď na reklamaci doručenky
2	904	VS - Usnesení o delegaci
2	861	Žádost na RT
2	852	Záznam o složení
2	844	Zaplacení Sop převodem u jiného soudu
2	827	Vyjádření
2	819	OP - Ústavní stížnost
2	793	Usnesení o ustanovení znalce
2	785	Informativní výslech
2	770	Usnesení o odkladu vykonatelnosti
2	766	Usnesení o částečném zrušení rozsudku
2	660	Protokol o provedení důkazů mimo jednání
2	650	PO-usnesení o nařízení se zrušuje
2	528	Rozhodnutí o místní příslušnosti
2	506	Rozhodnutí o odvolání - odmítnuto
2	502	Rozhodnutí o odvolání - potvrzeno
2	246	Usnesení k vyjádření se k odvolání
2	1020	Zrušení vzájemné souvislosti spisů
2	1015	NS - Rozhodnutí NS - odložení právní moci
1	995	Poukaz účtárně na vrácení pokuty
1	940	Návrh na pokračování v řízení
1	717	Úřední záznam
1	710	Doručení soudním doručovatelem
1	700	Doručení podle Haagské úmluvy
1	669	Předvolání osoby s uloženou povinností při dokazování
1	668	Předvolání ke smírčímu řízení
1	589	VS - Rozsudek doplňující
1	525	Žádost o zapůjčení spisu
1	507	Rozhodnutí o odvolání - jinak
1	499	Zvláštní přezkumné jednání
1	399	Rozhodnutí o dovolání - zrušeno a vráceno soudu 1. stupně
1	311	Rozhodnutí o odvolání ve věci zproštění funkce insolv. správce, jeho výdajích a způsob úhrady - jiné
1	166	Usnesení o zastavení řízení dle § 427
1	1048	Vzájemný návrh
1	1023	Výpis údajů ze základních registrů
